facilityType,seNumber,seCode,seName,dhis2SortOrder,programStageId,sectionUid,dhis2SectionName,active,source
HOSPITAL,1,SE 1,Management and Leadership,2,hup8BqEe7Mn,,Management and Leadership,TRUE,src/assets/hospital_config.json
HOSPITAL,2,SE 2,Human Resource Management,3,hup8BqEe7Mn,,Human Resource Management,TRUE,src/assets/hospital_config.json
HOSPITAL,3,SE 3,Administrative Support,4,hup8BqEe7Mn,,Administrative Support,TRUE,src/assets/hospital_config.json
HOSPITAL,4,SE 4,Access to Care,5,hup8BqEe7Mn,,Access to Care,TRUE,src/assets/hospital_config.json
HOSPITAL,5,SE 5,Patient and Family Rights,6,hup8BqEe7Mn,,Patient and Family Rights,TRUE,src/assets/hospital_config.json
HOSPITAL,6,SE 6,Management of Information,7,hup8BqEe7Mn,,Management of Information,TRUE,src/assets/hospital_config.json
HOSPITAL,7,SE 7,Risk Management,8,hup8BqEe7Mn,,Risk Management,TRUE,src/assets/hospital_config.json
HOSPITAL,8,SE 8,Quality Management and Improvement,9,hup8BqEe7Mn,,Quality Management and Improvement,TRUE,src/assets/hospital_config.json
HOSPITAL,9,SE 9,Prevention and Control of Infection,10,hup8BqEe7Mn,,Prevention and Control of Infection,TRUE,src/assets/hospital_config.json
HOSPITAL,10,SE 10,General Medical.Surgical.Paediatric and Obstetric Care,11,hup8BqEe7Mn,,General Medical.Surgical.Paediatric and Obstetric Care,TRUE,src/assets/hospital_config.json
HOSPITAL,11,SE 11,Medical Care,12,hup8BqEe7Mn,,Medical Care,TRUE,src/assets/hospital_config.json
HOSPITAL,12,SE 12,Surgical Care,13,hup8BqEe7Mn,,Surgical Care,TRUE,src/assets/hospital_config.json
HOSPITAL,13,SE 13,Critical Care,14,hup8BqEe7Mn,,Critical Care,TRUE,src/assets/hospital_config.json
HOSPITAL,14,SE 14,Obstetric and Maternity Care,15,hup8BqEe7Mn,,Obstetric and Maternity Care,TRUE,src/assets/hospital_config.json
HOSPITAL,15,SE 15,Psychiatric Care,16,hup8BqEe7Mn,,Psychiatric Care,TRUE,src/assets/hospital_config.json
HOSPITAL,16,SE 16,Paediatric Care,17,hup8BqEe7Mn,,Paediatric Care,TRUE,src/assets/hospital_config.json
HOSPITAL,17,SE 17,Theatre and Anaesthetic Services,18,hup8BqEe7Mn,,Theatre and Anaesthetic Services,TRUE,src/assets/hospital_config.json
HOSPITAL,18,SE 18,Nuclear Medicine Service,19,hup8BqEe7Mn,,Nuclear Medicine Service,TRUE,src/assets/hospital_config.json
HOSPITAL,19,SE 19,Laboratory Service,20,hup8BqEe7Mn,,Laboratory Service,TRUE,src/assets/hospital_config.json
HOSPITAL,20,SE 20,Radiology and Diagnostic Imaging Service,21,hup8BqEe7Mn,,Radiology and Diagnostic Imaging Service,TRUE,src/assets/hospital_config.json
HOSPITAL,21,SE 21,Pharmaceutical Service,22,hup8BqEe7Mn,,Pharmaceutical Service,TRUE,src/assets/hospital_config.json
HOSPITAL,22,SE 22,Emergency Care,23,hup8BqEe7Mn,,Emergency Care,TRUE,src/assets/hospital_config.json
HOSPITAL,23,SE 23,Outpatient Care,24,hup8BqEe7Mn,,Outpatient Care,TRUE,src/assets/hospital_config.json
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Service,25,hup8BqEe7Mn,,Combined Outpatient and Emergency Service,TRUE,src/assets/hospital_config.json
HOSPITAL,25,SE 25,Sterilising And Disinfecting Unit,26,hup8BqEe7Mn,,Sterilising And Disinfecting Unit,TRUE,src/assets/hospital_config.json
HOSPITAL,26,SE 26,Food Service,27,hup8BqEe7Mn,,Food Service,TRUE,src/assets/hospital_config.json
HOSPITAL,27,SE 27,Linen Management,28,hup8BqEe7Mn,,Linen Management,TRUE,src/assets/hospital_config.json
HOSPITAL,28,SE 28,Housekeeping Service,29,hup8BqEe7Mn,,Housekeeping Service,TRUE,src/assets/hospital_config.json
