facilityType,seNumber,sectionPiId,sectionTitle,sortOrder,active
HOSPITAL,1,1.1,Governance of the Organisation,1,TRUE
HOSPITAL,1,1.2,Management of the Organisation,2,TRUE
HOSPITAL,1,1.3,Management of Departments and Services,3,TRUE
HOSPITAL,2,2.1,Human Resource Management Support,1,TRUE
HOSPITAL,2,2.2,Staff Planning,2,TRUE
HOSPITAL,2,2.3,Personnel Management,3,TRUE
HOSPITAL,2,2.4,Staff Orientation and Education,4,TRUE
HOSPITAL,2,2.5,Credentialing of Staff Members,5,TRUE
HOSPITAL,2,2.6,Quality Improvement,6,TRUE
HOSPITAL,3,3.1,Financial Management Support,1,TRUE
HOSPITAL,3,3.2,Health Record Management,2,TRUE
HOSPITAL,3,3.3,Procurement and Provisioning of Supplies,3,TRUE
HOSPITAL,3,3.4,Use of Motor Vehicles,4,TRUE
HOSPITAL,4,4.1,Access to Care,1,TRUE
HOSPITAL,4,4.2,Admission Processes,2,TRUE
HOSPITAL,5,5.1,Implementation of Patient Rights,1,TRUE
HOSPITAL,5,5.2,"Protection of Privacy, Person and Possessions",2,TRUE
HOSPITAL,5,5.3,Right to Health Education,3,TRUE
HOSPITAL,5,5.4,Right to Treatment and to Refuse Treatment,4,TRUE
HOSPITAL,5,5.5,Right  to Voice Complaints,5,TRUE
HOSPITAL,5,5.6,Informed Consent,6,TRUE
HOSPITAL,6,6.1,Planning,1,TRUE
HOSPITAL,6,6.2,Information Management Support,2,TRUE
HOSPITAL,6,6.3,Data Processing and Information Management,3,TRUE
HOSPITAL,7,7.1,Risk Management,1,TRUE
HOSPITAL,7,7.2,Patient Safety,2,TRUE
HOSPITAL,7,7.3,Occupational Health and Safety,3,TRUE
HOSPITAL,7,7.4,Security,4,TRUE
HOSPITAL,7,7.5,Fire Safety,5,TRUE
HOSPITAL,7,7.6,Emergency Planning,6,TRUE
HOSPITAL,7,7.7,Waste Management,7,TRUE
HOSPITAL,8,8.1,Quality Leadership and Design,1,TRUE
HOSPITAL,8,8.2,Clinical and Managerial Quality Monitoring,2,TRUE
HOSPITAL,8,8.3,Use of Analysed Data,3,TRUE
HOSPITAL,8,8.4,Achieving and Sustaining Quality,4,TRUE
HOSPITAL,9,9.1,Infection Control Management,1,TRUE
HOSPITAL,9,9.2,Infection Control Processes,2,TRUE
HOSPITAL,9,9.3,Obtaining Of Laboratory Cultures,3,TRUE
HOSPITAL,9,9.4,Infection Control Quality Management,4,TRUE
HOSPITAL,9,9.5,Infection Control Education For The Staff,5,TRUE
HOSPITAL,10,10.1,Coordination of Patient Care,1,TRUE
HOSPITAL,10,10.2,Facilities and Equipment,2,TRUE
HOSPITAL,10,10.3,Clinical Practice Guidelines,3,TRUE
HOSPITAL,10,10.4,Assessment of Patients,4,TRUE
HOSPITAL,10,10.5,Patient Care,5,TRUE
HOSPITAL,10,10.6,Medication,6,TRUE
HOSPITAL,10,10.7,Food and Nutrition Therapy,7,TRUE
HOSPITAL,10,10.8,Patient and Family Education,8,TRUE
HOSPITAL,10,10.9,Continuity of Care,9,TRUE
HOSPITAL,10,10.10,Quality Improvement,10,TRUE
HOSPITAL,10,10.11,Patient Rights,11,TRUE
HOSPITAL,10,10.12,Prevention and Control of Infection,12,TRUE
HOSPITAL,10,10.13,Risk Management,13,TRUE
HOSPITAL,11,11.1,Coordination of Patient Care,1,TRUE
HOSPITAL,11,11.2,Facilities and Equipment,2,TRUE
HOSPITAL,11,11.3,Clinical Practice Guidelines,3,TRUE
HOSPITAL,11,11.4,Assessment of Patients,4,TRUE
HOSPITAL,11,11.5,Patient Care,5,TRUE
HOSPITAL,11,11.6,Medication,6,TRUE
HOSPITAL,11,11.7,Food and Nutrition Therapy,7,TRUE
HOSPITAL,11,11.8,Patient and Family Education,8,TRUE
HOSPITAL,11,11.9,Continuity of Care,9,TRUE
HOSPITAL,11,11.10,Quality Improvement,10,TRUE
HOSPITAL,11,11.11,Patient Rights,11,TRUE
HOSPITAL,11,11.12,Prevention and Control of Infection,12,TRUE
HOSPITAL,11,11.13,Risk Management,13,TRUE
HOSPITAL,12,12.1,Coordination of Patient Care,1,TRUE
HOSPITAL,12,12.2,Facilities and Equipment,2,TRUE
HOSPITAL,12,12.3,Clinical Practice Guidelines,3,TRUE
HOSPITAL,12,12.4,Assessment of Patients,4,TRUE
HOSPITAL,12,12.5,Patient Care,5,TRUE
HOSPITAL,12,12.6,Medication,6,TRUE
HOSPITAL,12,12.7,Food and Nutrition Therapy,7,TRUE
HOSPITAL,12,12.8,Patient and Family Education,8,TRUE
HOSPITAL,12,12.9,Continuity of Care,9,TRUE
HOSPITAL,12,12.10,Quality Improvement,10,TRUE
HOSPITAL,12,12.11,Patient Rights,11,TRUE
HOSPITAL,12,12.12,Prevention and Control of Infection,12,TRUE
HOSPITAL,12,12.13,Risk Management,13,TRUE
HOSPITAL,13,13.1,Coordination of Patient Care,1,TRUE
HOSPITAL,13,13.2,Facilities and Equipment,2,TRUE
HOSPITAL,13,13.3,Clinical Practice Guidelines,3,TRUE
HOSPITAL,13,13.4,Assessment of Patients,4,TRUE
HOSPITAL,13,13.5,Patient Care,5,TRUE
HOSPITAL,13,13.6,Medication,6,TRUE
HOSPITAL,13,13.7,Food and Nutrition Therapy,7,TRUE
HOSPITAL,13,13.8,Patient and Family Education,8,TRUE
HOSPITAL,13,13.9,Continuity of Care,9,TRUE
HOSPITAL,13,13.10,Quality Improvement,10,TRUE
HOSPITAL,13,13.11,Patient Rights,11,TRUE
HOSPITAL,13,13.12,Prevention and Control of Infection,12,TRUE
HOSPITAL,13,13.13,Risk Management,13,TRUE
HOSPITAL,14,14.1,Coordination of Patient Care,1,TRUE
HOSPITAL,14,14.2,Facilities and Equipment,2,TRUE
HOSPITAL,14,14.3,Clinical Practice Guidelines,3,TRUE
HOSPITAL,14,14.4,Assessment of Patients,4,TRUE
HOSPITAL,14,14.5,Patient Care,5,TRUE
HOSPITAL,14,14.6,Medication,6,TRUE
HOSPITAL,14,14.7,Food and Nutrition Therapy,7,TRUE
HOSPITAL,14,14.8,Patient and Family Education,8,TRUE
HOSPITAL,14,14.9,Continuity of Care,9,TRUE
HOSPITAL,14,14.10,Quality Improvement,10,TRUE
HOSPITAL,14,14.11,Patient Rights,11,TRUE
HOSPITAL,14,14.12,Prevention and Control of Infection,12,TRUE
HOSPITAL,14,14.13,Risk Management,13,TRUE
HOSPITAL,15,15.1,Coordination of Patient Care,1,TRUE
HOSPITAL,15,15.2,Facilities and Equipment,2,TRUE
HOSPITAL,15,15.3,Clinical Practice Guidelines,3,TRUE
HOSPITAL,15,15.4,Assessment of Patients,4,TRUE
HOSPITAL,15,15.5,Patient Care,5,TRUE
HOSPITAL,15,15.6,Medication,6,TRUE
HOSPITAL,15,15.7,Food and Nutrition Therapy,7,TRUE
HOSPITAL,15,15.8,Patient and Family Education,8,TRUE
HOSPITAL,15,15.9,Continuity of Care,9,TRUE
HOSPITAL,15,15.10,Special Psychiatric Services,10,TRUE
HOSPITAL,15,15.11,Quality Improvement,11,TRUE
HOSPITAL,15,15.12,Patient Rights,12,TRUE
HOSPITAL,15,15.13,Prevention and Control of Infection,13,TRUE
HOSPITAL,15,15.14,Risk Management,14,TRUE
HOSPITAL,16,16.1,Coordination of Patient Care,1,TRUE
HOSPITAL,16,16.2,Facilities and Equipment,2,TRUE
HOSPITAL,16,16.3,Clinical Practice Guidelines,3,TRUE
HOSPITAL,16,16.4,Assessment of Patients,4,TRUE
HOSPITAL,16,16.5,Patient Care,5,TRUE
HOSPITAL,16,16.6,Medication,6,TRUE
HOSPITAL,16,16.7,Food and Nutrition Therapy,7,TRUE
HOSPITAL,16,16.8,Patient and Family Education,8,TRUE
HOSPITAL,16,16.9,Continuity of Care,9,TRUE
HOSPITAL,16,16.10,Quality Improvement,10,TRUE
HOSPITAL,16,16.11,Patient Rights,11,TRUE
HOSPITAL,16,16.12,Prevention and Control of Infection,12,TRUE
HOSPITAL,16,16.13,Risk Management,13,TRUE
HOSPITAL,17,17.1,Coordination of Patient Care,1,TRUE
HOSPITAL,17,17.2,"Facilities, Equipment, Supplies and Medication",2,TRUE
HOSPITAL,17,17.3,Clinical Practice Guidelines,3,TRUE
HOSPITAL,17,17.4,Policies and Procedures,4,TRUE
HOSPITAL,17,17.5,Anaesthetic Care,5,TRUE
HOSPITAL,17,17.6,Quality improvement,6,TRUE
HOSPITAL,17,17.7,Patient Rights,7,TRUE
HOSPITAL,17,17.8,Prevention and Control of Infection,8,TRUE
HOSPITAL,17,17.9,Risk Management,9,TRUE
HOSPITAL,18,18.1,Management of the Service,1,TRUE
HOSPITAL,18,18.2,Referral Services,2,TRUE
HOSPITAL,18,18.3,Radiation Safety,3,TRUE
HOSPITAL,18,18.4,Administration of Tests,4,TRUE
HOSPITAL,18,18.5,Quality Improvement,5,TRUE
HOSPITAL,18,18.6,Patient Rights,6,TRUE
HOSPITAL,18,18.7,Prevention and Control of Infection,7,TRUE
HOSPITAL,18,18.8,Risk Management,8,TRUE
HOSPITAL,19,19.1,Management  of the Service,1,TRUE
HOSPITAL,19,19.2,Management of Specimens and Results,2,TRUE
HOSPITAL,19,19.3,Quality Improvement,3,TRUE
HOSPITAL,19,19.4,Patient Rights,4,TRUE
HOSPITAL,19,19.5,Prevention and Control of Infection,5,TRUE
HOSPITAL,19,19.6,Risk Management,6,TRUE
HOSPITAL,20,20.1,Management of the Service,1,TRUE
HOSPITAL,20,20.2,Reporting and Recording,2,TRUE
HOSPITAL,20,20.3,Quality Improvement,3,TRUE
HOSPITAL,20,20.4,Patient Rights,4,TRUE
