facilityType,seNumber,sectionPiId,standardId,questionCode,questionText,guideline,category,severity,isCritical,dataElementUid,dhis2DataElementCode,dhis2DataElementName,uidMatchMethod,valueType,domainType,optionSetUid,compulsory,sortOrderWithinStandard,active
HOSPITAL,1,1.1,1.1.1,1.1.1.1,The organisation’s governance structure is described in written documents and is known to the staff of the organisation.,"This governance structure refers to the authority(ies) above the level of the Hospital Manager and may include National/Regional/District levels in the public sector together with the Hospital Board, or corporate structures in the private sector including structures such as Head Office, Regional Office, Hospital Board/Board of Directors/ Governance Committees/any other structures that may exist. 
Please note that full compliance can only be achieved if there is formal evidence of sharing this information with the staff of the organisation. A mere organogram does not render this criterion compliant unless there is a concise description/listing of the key functions of the relevant structures as reflected in this criterion. 
Also take note that some of this information may be contained in Acts, regulations or directives. In the private sector this information may also be published as a corporate document or on the organisation’s website.
Documented evidence is required of a process through which the personnel of the organisation are informed of these responsibilities of the governance structure, e.g. during orientation and induction programmes, staff meetings, information leaflets, memos.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.1,1.1.1,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation.,"This criterion requires an organisational chart of both the governance structure and the local organisation. These document(s) should also illustrate the relationship between the Hospital Manager and the next level of Governance above him/her. The phrase “lines of authority and accountability” requires more than merely a list of available posts or services rendered; it should be formulated in such a manner that it indicates to each member of staff who his/her direct supervisor is as well as his/her span of responsibility. The names of individuals do not need to be shown. As with any other official document, the organogram should be duly authorised (dated and signed). The titles/post designations of those responsible for governing will automatically be displayed on the organogram provided it is drawn up correctly. This information can also form part of the documentation referred to in 1.1.1.1. Detail about facility managers may also be offered in other documents such as job descriptions, delegations, performance agreements, etc.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.1,1.1.1,1.1.1.3,Those responsible for governance approve and make public the organisation’s mission statement.,"This section (1.1.1.3 to 10) requires documented evidence of the involvement of the governance structure in the stated activities; 
Please note there is no standardised way in which all the different organisations carry out these functions. Therefore, the official documents in 1.1.1.1, 1.1.1.2 and 1.1.1.4 should guide the assessment of systems and processes in relation to the manner in which these responsibilities are carried out.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.1,1.1.1,1.1.1.4,Those responsible for governance approve the managerial policies and plans to operate the organisation.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,1,1.1,1.1.1,1.1.1.5,Those responsible for governance approve the budget and allocate resources required to meet the organisation’s mission.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,1,1.1,1.1.1,1.1.1.6,Those responsible for governance appoint the organisation’s senior manager(s) or director(s).,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,1,1.1,1.1.1,1.1.1.7,Those responsible for governance collaborate with the organisation’s managers.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,1,1.1,1.1.1,1.1.1.8,"Those responsible for governance receive and act upon reports of the quality programme, at least quarterly.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,8,TRUE
HOSPITAL,1,1.1,1.1.1,1.1.1.9,"Those responsible for governance receive and act upon reports on risk management, at least quarterly.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,9,TRUE
HOSPITAL,1,1.1,1.1.1,1.1.1.10,Those responsible for governance evaluate the performance of the organisation’s senior manager at least annually.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,10,TRUE
HOSPITAL,1,1.2,1.2.1,1.2.1.1,"The senior manager manages the day to day operation of the organisation, including those responsibilities described in the position description.",This criterion is scored PC in situations where the position is temporarily filled (acting capacity).,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
