facilityType,seNumber,sectionUid,sectionName,dataElementUid,dataElementCode,dhis2DataElementCode,dhis2DataElementName,sortOrder,active
HOSPITAL,1,,Management and Leadership,,1.1.1.1,,,1,TRUE
HOSPITAL,1,,Management and Leadership,,1.1.1.2,,,2,TRUE
HOSPITAL,1,,Management and Leadership,,1.1.1.3,,,3,TRUE
HOSPITAL,1,,Management and Leadership,,1.1.1.4,,,4,TRUE
HOSPITAL,1,,Management and Leadership,,1.1.1.5,,,5,TRUE
HOSPITAL,1,,Management and Leadership,,1.1.1.6,,,6,TRUE
HOSPITAL,1,,Management and Leadership,,1.1.1.7,,,7,TRUE
HOSPITAL,1,,Management and Leadership,,1.1.1.8,,,8,TRUE
HOSPITAL,1,,Management and Leadership,,1.1.1.9,,,9,TRUE
HOSPITAL,1,,Management and Leadership,,1.1.1.10,,,10,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.1.1,,,11,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.1.2,,,12,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.1.3,,,13,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.1.4,,,14,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.1.5,,,15,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.2.1,,,16,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.2.2,,,17,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.2.3,,,18,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.2.4,,,19,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.2.5,,,20,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.2.6,,,21,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.2.7,,,22,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.2.8,,,23,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.3.1,,,24,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.3.2,,,25,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.3.3,,,26,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.4.1,,,27,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.4.2,,,28,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.4.3,,,29,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.5.1,,,30,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.5.2,,,31,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.5.3,,,32,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.5.4,,,33,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.5.5,,,34,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.5.6,,,35,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.6.1,,,36,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.6.2,,,37,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.6.3,,,38,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.6.4,,,39,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.6.5,,,40,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.6.6,,,41,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.7.1,,,42,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.7.2,,,43,TRUE
HOSPITAL,1,,Management and Leadership,,1.2.7.3,,,44,TRUE
