facilityType,seNumber,seCode,seName,rootCriterionCode,rootDescription,subCriteriaCodes,sortOrder,active
HOSPITAL,1,SE 1,Management and Leadership,1.2.6.1,The organisation's leaders ensure that policies and procedures guide and support the activities and management of the organisation.,1.2.6.2|1.2.6.3|1.2.6.4|1.2.6.5|1.2.6.6,1,TRUE
HOSPITAL,1,SE 1,Management and Leadership,1.2.8.1,"The organisation's leaders promote communication among departments, services and individual staff members",1.2.8.2|1.2.8.3|1.2.8.4,2,TRUE
HOSPITAL,1,SE 1,Management and Leadership,1.3.1.2,The responsibilities of each departmental manager are defined in writing,1.3.1.3|1.3.1.4|1.3.1.5|1.3.1.6|1.3.1.7|1.3.1.8,3,TRUE
HOSPITAL,2,SE 2,Human Resource Management,2.1.2.2,There is documented personnel information on each staff member.,2.1.2.3|2.1.2.4|2.1.2.5|2.1.2.6|2.1.2.7|2.1.2.8|2.1.2.9,1,TRUE
HOSPITAL,2,SE 2,Human Resource Management,2.2.1.1,There are documented processes for staffing the organisation,2.2.1.2|2.2.1.3|2.2.1.4|2.2.1.5|2.2.1.6|2.2.1.7,2,TRUE
HOSPITAL,2,SE 2,Human Resource Management,2.3.1.1,"Personnel employed by the organisation have written job descriptions and performance agreements, which define their responsibilities.",2.3.1.2|2.3.1.3,3,TRUE
HOSPITAL,2,SE 2,Human Resource Management,2.3.2.1,Key performance areas for each staff member are identified in their job descriptions and performance agreements.,2.3.2.2,4,TRUE
HOSPITAL,2,SE 2,Human Resource Management,2.3.3.2,"There are mutually agreed processes for the satisfactory conduct of industrial relations activities, which meet the requirements of current legislation.",2.3.3.3|2.3.3.4|2.3.3.5|2.3.3.6,5,TRUE
HOSPITAL,2,SE 2,Human Resource Management,2.4.1.1,There are documented programmes for staff orientation to the organisation,2.4.1.2|2.4.1.3|2.4.1.4,6,TRUE
HOSPITAL,2,SE 2,Human Resource Management,2.4.2.1,The organisation has a coordinated plan for in-service training and development,2.4.2.2|2.4.2.3|2.4.2.4|2.4.2.5,7,TRUE
HOSPITAL,2,SE 2,Human Resource Management,2.5.1.1,"Those permitted by law, regulation and the organisation to provide patient care without supervision are identified.",2.5.1.2|2.5.1.3|2.5.1.4|2.5.1.5|2.5.1.6,8,TRUE
HOSPITAL,3,SE 3,Administrative Support,3.1.1.2,The financial manager ensures that policies and procedures are available to guide the staff and that they are implemented.,3.1.1.3|3.1.1.4|3.1.1.5|3.1.1.6|3.1.1.7|3.1.1.8|3.1.1.9|3.1.1.10,1,TRUE
HOSPITAL,3,SE 3,Administrative Support,3.2.1.2,The health record manager ensures that policies and procedures are available to guide the personnel and that they are implemented.,3.2.1.3|3.2.1.4|3.2.1.5|3.2.1.7|3.2.1.8|3.2.1.9|3.2.1.10|3.2.1.11|3.2.1.12|3.2.1.13|3.2.1.14|3.2.1.15,2,TRUE
HOSPITAL,3,SE 3,Administrative Support,3.3.1.2,The provisioning manager ensures that policies and procedures are available to guide the personnel and that they are implemented.,3.3.1.3|3.3.1.4|3.3.1.5|3.3.1.6,3,TRUE
HOSPITAL,3,SE 3,Administrative Support,3.3.2.1,Secure storage facilities are available,3.3.2.2|3.3.2.3|3.3.2.4|3.3.2.5,4,TRUE
HOSPITAL,4,SE 4,Access to Care,4.1.1.7,Screening is initiated at the point of first contact with the organisation.,4.1.1.8|4.1.1.9|4.1.1.10,1,TRUE
HOSPITAL,4,SE 4,Access to Care,4.2.3.1,There is a process to provide patient/family with information at admission.,4.2.3.2|4.2.3.3|4.2.3.4,2,TRUE
HOSPITAL,4,SE 4,Access to Care,4.2.4.1,"The organisation has established entry and/or transfer criteria for its intensive and specialised units, including research and other programmes to meet special patient needs.",4.2.4.2|4.2.4.3|4.2.4.4|4.2.4.5|4.2.4.6,3,TRUE
HOSPITAL,5,SE 5,Patient and Family Rights,5.1.1.1,The leaders of the organisation work collaboratively to protect and advance patient and family rights through an established framework.,5.1.1.2|5.1.1.3|5.1.1.4|5.1.1.5|5.1.1.6,1,TRUE
HOSPITAL,5,SE 5,Patient and Family Rights,5.4.1.1,Patients and families are informed about their rights to refuse or discontinue treatment.,5.4.1.2,2,TRUE
HOSPITAL,5,SE 5,Patient and Family Rights,5.4.2.1,The organisation has identified its position on withholding resuscitative services and forgoing or withdrawing life-sustaining treatments.,5.4.2.2|5.4.2.3|5.4.2.4|5.4.2.5,3,TRUE
HOSPITAL,5,SE 5,Patient and Family Rights,5.5.1.1,There is a mechanism to allow for the hearing of complaints and to act upon them.,5.5.1.2|5.5.1.3,4,TRUE
HOSPITAL,6,SE 6,Management of Information,6.1.1.1,Information systems are developed and implemented in the organisation,6.1.1.2|6.1.1.3,1,TRUE
HOSPITAL,6,SE 6,Management of Information,6.3.1.2,Clinical and managerial data and information are integrated as needed to support decision-making,6.3.1.3|6.3.1.4|6.3.1.5,2,TRUE
HOSPITAL,7,SE 7,Risk Management,7.1.1.1,"There are documented risk management processes for the identification of all risks (physical, environmental, medico-legal, operational, etc) relating to organisational processes and systems, staff, patients, visitors and physical facilities.",7.1.1.2|7.1.1.3|7.1.1.4|7.1.1.5|7.1.1.6|7.1.1.7|7.1.1.8,1,TRUE
HOSPITAL,7,SE 7,Risk Management,7.2.1.1,Policies and/or procedures that address the accuracy of patient identification are implemented,7.2.1.2|7.2.1.3|7.2.1.4|7.2.1.5,2,TRUE
HOSPITAL,7,SE 7,Risk Management,7.2.2.1,Policies and/or procedures that address the accuracy of verbal and telephone orders are implemented.,7.2.2.2|7.2.2.3|7.2.2.4,3,TRUE
HOSPITAL,7,SE 7,Risk Management,7.2.3.1,"Policies and/or procedures that address the location, labelling and storage of concentrated electrolytes are implemented.",7.2.3.2,4,TRUE
