facilityType,sourceCriterionCode,sourceDescription,linkType,targetCriterionCode,sortOrder,scoringWeight,includeInTooltip,active
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,19.1.3.1,1,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,2.2.1.1,2,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,20.1.3.1,3,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,25.1.1.3,4,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,26.1.1.3,5,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,27.1.1.3,6,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,28.1.1.3,7,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,32.1.1.3,8,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,33.1.1.3,9,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,34.1.1.3,10,1,TRUE,TRUE
HOSPITAL,1.1.1.2,There is an organisational chart or document that describes the lines of authority and accountability between the governance structure and the organisation as well as within the organisation,linked_criteria,35.1.1.3,11,1,TRUE,TRUE
