root,linked,in_hl,in_mx,mx_color,tag,status
1.1.1.2,19.1.3.1,1,1,yellow,,BOTH
1.1.1.2,2.2.1.1,1,1,yellow,,BOTH
1.1.1.2,20.1.3.1,1,1,yellow,,BOTH
1.1.1.2,25.1.1.3,1,1,yellow,,BOTH
1.1.1.2,26.1.1.3,1,1,yellow,,BOTH
1.1.1.2,27.1.1.3,1,1,yellow,,BOTH
1.1.1.2,28.1.1.3,1,1,yellow,,BOTH
1.1.1.2,32.1.1.3,1,1,yellow,,BOTH
1.1.1.2,33.1.1.3,1,1,yellow,,BOTH
1.1.1.2,34.1.1.3,1,1,yellow,,BOTH
1.1.1.2,35.1.1.3,1,1,yellow,,BOTH
1.1.1.2,36.1.1.3,1,1,yellow,,BOTH
1.1.1.2,37.1.1.3,1,1,yellow,,BOTH
1.1.1.2,38.1.3.1,0,1,yellow,,MX_ONLY
1.1.1.4,1.2.1.3,1,1,yellow,,BOTH
1.1.1.6,1.2.1.1,1,1,yellow,,BOTH
1.1.1.7,1.2.2.1,0,1,yellow,,MX_ONLY
1.1.1.8,8.1.1.1,1,1,yellow,,BOTH
1.1.1.8,8.1.1.6,1,1,yellow,,BOTH
1.1.1.8,8.2.2.4,1,1,yellow,,BOTH
1.2.1.1,1.1.1.6,1,1,green,G,BOTH
1.2.1.3,1.1.1.4,0,1,green,G,MX_ONLY
1.2.1.4,1.2.1.5,1,1,yellow,,BOTH
1.2.1.4,18.1.1.4,1,1,yellow,,BOTH
1.2.1.4,18.2.1.4,1,1,yellow,,BOTH
1.2.1.4,18.3.2.1,1,1,yellow,,BOTH
1.2.1.4,18.3.5.3,1,1,yellow,,BOTH
1.2.1.4,19.1.1.2,1,1,yellow,,BOTH
1.2.1.4,2.3.3.1,1,1,yellow,,BOTH
1.2.1.4,2.5.1.1,1,1,yellow,,BOTH
1.2.1.4,20.2.2.1,1,1,yellow,,BOTH
1.2.1.4,21.1.1.3,1,1,yellow,,BOTH
1.2.1.4,21.3.1.1,1,1,yellow,,BOTH
1.2.1.4,25.2.2.4,1,1,yellow,,BOTH
1.2.1.4,26.2.1.1,1,1,yellow,,BOTH
1.2.1.4,26.5.3.3,1,1,yellow,,BOTH
1.2.1.4,29.1.1.5,1,1,yellow,,BOTH
1.2.1.4,3.2.1.3,1,1,yellow,,BOTH
1.2.1.4,3.3.2.2,1,1,yellow,,BOTH
1.2.1.4,3.4.1.8,1,1,yellow,,BOTH
1.2.1.4,3.4.1.9,1,1,yellow,,BOTH
1.2.1.4,3.4.2.2,1,1,yellow,,BOTH
1.2.1.4,38.2.1.1,1,1,yellow,,BOTH
1.2.1.4,38.3.1.1,1,1,yellow,,BOTH
1.2.1.4,5.2.1.3,1,1,yellow,,BOTH
1.2.1.4,6.1.2.1,1,1,yellow,,BOTH
1.2.1.4,6.3.2.2,1,1,yellow,,BOTH
1.2.1.4,7.3.1.1,1,1,yellow,,BOTH
1.2.1.4,7.5.1.1,1,1,yellow,,BOTH
1.2.1.4,7.7.1.1,1,1,yellow,,BOTH
1.2.1.5,1.2.1.4,1,1,green,G,BOTH
1.2.1.5,18.3.2.1,1,1,yellow,,BOTH
1.2.1.5,18.3.4.4,1,1,yellow,,BOTH
1.2.1.5,20.2.2.1,1,1,yellow,,BOTH
1.2.1.5,3.1.1.7,1,1,yellow,,BOTH
1.2.2.1,1.1.1.7,1,1,green,G,BOTH
1.2.2.1,1.2.3.3,1,1,yellow,,BOTH
1.2.2.1,1.2.4.2,1,1,yellow,,BOTH
1.2.2.2,1.3.1.3,1,1,yellow,,BOTH
1.2.2.2,1.3.1.4,1,1,yellow,,BOTH
1.2.2.2,1.3.1.5,1,1,yellow,,BOTH
1.2.2.2,17.2.2.9,0,1,yellow,,MX_ONLY
1.2.2.2,2.2.1.1,1,1,yellow,,BOTH
1.2.2.2,22.8.6.4,0,1,yellow,,MX_ONLY
1.2.2.2,24.8.5.4,1,1,yellow,,BOTH
1.2.2.2,27.2.3.3,1,1,yellow,,BOTH
1.2.2.2,3.1.1.4,1,1,yellow,,BOTH
1.2.2.2,30.2.1.1,1,1,yellow,,BOTH
1.2.2.2,30.2.1.2,1,1,yellow,,BOTH
1.2.2.2,32.2.1.1,1,1,yellow,,BOTH
1.2.2.2,33.2.1.1,1,1,yellow,,BOTH
1.2.2.2,34.2.1.1,1,1,yellow,,BOTH
1.2.2.2,35.2.1.1,1,1,yellow,,BOTH
1.2.2.2,36.2.1.1,1,1,yellow,,BOTH
1.2.2.2,37.2.1.1,1,1,yellow,,BOTH
1.2.2.2,38.2.1.1,1,1,yellow,,BOTH
1.2.2.2,41.4.2.7,0,1,yellow,,MX_ONLY
1.2.2.3,10.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,11.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,12.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,13.2.1.1,1,1,yellow,,BOTH
1.2.2.3,14.2.1.1,1,1,yellow,,BOTH
1.2.2.3,15.2.1.1,1,1,yellow,,BOTH
1.2.2.3,16.2.1.1,1,1,yellow,,BOTH
1.2.2.3,17.2.1.1,1,1,yellow,,BOTH
1.2.2.3,17.2.1.4,1,1,yellow,,BOTH
1.2.2.3,19.1.4.1,1,1,yellow,,BOTH
1.2.2.3,21.5.1.1,1,1,yellow,,BOTH
1.2.2.3,22.2.1.1,1,1,yellow,,BOTH
1.2.2.3,22.2.2.3,1,1,yellow,,BOTH
1.2.2.3,22.7.1.1,1,1,yellow,,BOTH
1.2.2.3,22.7.2.1,1,1,yellow,,BOTH
1.2.2.3,23.2.1.1,1,1,yellow,,BOTH
1.2.2.3,23.2.2.1,1,1,yellow,,BOTH
1.2.2.3,24.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,24.2.2.2,0,1,yellow,,MX_ONLY
1.2.2.3,24.7.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,25.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,25.2.2.1,0,1,yellow,,MX_ONLY
1.2.2.3,26.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,26.2.2.1,0,1,yellow,,MX_ONLY
1.2.2.3,26.2.2.2,0,1,yellow,,MX_ONLY
1.2.2.3,27.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,27.2.1.6,0,1,yellow,,MX_ONLY
1.2.2.3,27.2.2.3,0,1,yellow,,MX_ONLY
1.2.2.3,28.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,29.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,29.3.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,29.3.1.5,0,1,yellow,,MX_ONLY
1.2.2.3,3.2.1.12,1,1,yellow,,BOTH
1.2.2.3,3.3.2.1,1,1,yellow,,BOTH
1.2.2.3,30.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,31.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,31.2.1.11,0,1,yellow,,MX_ONLY
1.2.2.3,31.4.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,32.2.1.2,0,1,yellow,,MX_ONLY
