40.1                      | LV0TExzD1I1  | 40.1 Coordination of Patient Care --
40.1.1                    | LOPrFiE1BCQ  | During all phases of care, there are qualified individuals responsible for the patient's care.
40.1.1-comments           | KWodkFx4Ldx  | During all phases of care, there are qualified individuals responsible for the patient's care.-comments
40.1.1.1                  | vEsmGLF2Jlh  | An appropriately qualified individual has clearly defined responsibilities and accountability for all aspects of the service.
40.1.1.1-comments         | RfKeYjdvmEa  | An appropriately qualified individual has clearly defined responsibilities and accountability for all aspects of the service.-comments
40.1.1.2                  | k5WLifCrePo  | The individuals responsible for the patient's care are designated.
40.1.1.2-comments         | PEfD8bZbNz1  | The individuals responsible for the patient's care are designated.-comments
40.1.1.3                  | wE4ULa13yVi  | The individuals responsible for the patient's care are qualified.
40.1.1.3-comments         | cyhDv29ugj8  | The individuals responsible for the patient's care are qualified.-comments
40.1.1.4                  | ppuWGHXYrGo  | The individuals responsible for the patient's care are identified and made known to the patient and other personnel.
40.1.1.4-comments         | hrHfjiCpBqK  | The individuals responsible for the patient's care are identified and made known to the patient and other personnel.-comments
40.1.2                    | akK2Gi7gzMg  | Clinical practice guidelines are used to guide patient care and reduce unwanted variation.
40.1.2-comments           | cQivnm9XiE7  | Clinical practice guidelines are used to guide patient care and reduce unwanted variation.-comments
40.1.2.1                  | KiQbi4DWt2Z  | Evidence-based clinical practice guidelines relevant to the patients and services of the organisation are available to guide patient care processes.
40.1.2.1-comments         | lhNIhCZHQXl  | Evidence-based clinical practice guidelines relevant to the patients and services of the organisation are available to guide patient care processes.-comments
40.1.2.2                  | H2w2LWjdvVg  | Organisational and clinical leaders set criteria to select clinical practice guidelines.
40.1.2.2-comments         | SDT0Zsl8PSG  | Organisational and clinical leaders set criteria to select clinical practice guidelines.-comments
40.1.2.3                  | klUSrNqepEo  | Implemented guidelines define and establish admission criteria for the child and family service.
40.1.2.3-comments         | ZtKnde1udOL  | Implemented guidelines define and establish admission criteria for the child and family service.-comments
40.1.2.4                  | lgbmEOLfofO  | The implementation of guidelines is monitored as part of a structured clinical audit.
40.1.2.4-comments         | kQR6cd3mBCV  | The implementation of guidelines is monitored as part of a structured clinical audit.-comments
40.1.2.5                  | gdDadTJ6Ar7  | Guidelines are reviewed on a regular basis and updated when necessary.
40.1.2.5-comments         | AdLQGJ2jtNj  | Guidelines are reviewed on a regular basis and updated when necessary.-comments
40.1.3                    | UK62jfhTyFS  | The delivery of services is integrated and coordinated amongst care providers.
40.1.3-comments           | A8XoOMpquWm  | The delivery of services is integrated and coordinated amongst care providers.-comments
40.1.3.1                  | qR8PAPdLcee  | Care planning is integrated and coordinated among all care providers.
40.1.3.1-comments         | yc2eYuZgqDi  | Care planning is integrated and coordinated among all care providers.-comments
40.1.3.2                  | i2r7oH6w27I  | The patients' clinical records are completed according to organisation policy.
40.1.3.2-comments         | PzvLzg3o3AM  | The patients' clinical records are completed according to organisation policy.-comments
40.1.3.3                  | SNg9CQeTWrX  | The patient's records are up to date to ensure the transfer of the latest information between care providers.
40.1.3.3-comments         | Eu0bcLAEtIe  | The patient's records are up to date to ensure the transfer of the latest information between care providers.-comments
40.1.3.4                  | jN14Fwnm7u2  | Information exchanged includes the patient's health status.
40.1.3.4-comments         | FMtoh6rXoC5  | Information exchanged includes the patient's health status.-comments
40.1.3.5                  | MV2mJpwB4tt  | Information exchanged includes a summary of the care provided.
40.1.3.5-comments         | lN5N2Jbhl71  | Information exchanged includes a summary of the care provided.-comments
40.1.3.6                  | j428AYK8UoD  | Information exchanged includes the patient's progress.
40.1.3.6-comments         | fPwzcp86vLZ  | Information exchanged includes the patient's progress.-comments
40.1.3.7                  | Nd6PA3oMbJj  | The author can be identified for each patient record entry.
40.1.3.7-comments         | cJHscdQAsvW  | The author can be identified for each patient record entry.-comments
40.1.3.8                  | F4XUfbgTKmW  | The date and time of each patient record entry can be identified.
40.1.3.8-comments         | yECyOGmTtw7  | The date and time of each patient record entry can be identified.-comments
40.2                      | MrE8of1yuIF  | 40.2 Assessment of Patients --
40.2.1                    | sr50S4k56Gx  | All patients cared for by the organisation have their healthcare needs identified through an established assessment process within appropriate time frames.
40.2.1-comments           | dN5GRZrJjLb  | All patients cared for by the organisation have their healthcare needs identified through an established assessment process within appropriate time frames.-comments
40.2.1.1                  | Wtp4QMBWnFh  | Written policies and procedures for assessing patients and their families on admission and during ongoing care are implemented.
40.2.1.1-comments         | AA1Ej93e8QL  | Written policies and procedures for assessing patients and their families on admission and during ongoing care are implemented.-comments
40.2.1.2                  | vuufUBpnfAt  | Only those individuals permitted by applicable laws, regulations and professional registration perform the assessments.
40.2.1.2-comments         | VCUnfnl0QfX  | Only those individuals permitted by applicable laws, regulations and professional registration perform the assessments.-comments
40.2.1.3                  | tjbnSwQlREc  | The scope and content of assessment by each discipline is defined.
40.2.1.3-comments         | NLgcDJ3ln17  | The scope and content of assessment by each discipline is defined.-comments
40.2.1.4                  | XaiM7aMUoZk  | Assessments are performed within appropriate time frames and are comprehensively documented in the patient's records according to organisation policy.
40.2.1.4-comments         | jzxAHk3TRAI  | Assessments are performed within appropriate time frames and are comprehensively documented in the patient's records according to organisation policy.-comments
40.2.1.5                  | WKGTGeSmI61  | The date and time of assessment can be identified.
40.2.1.5-comments         | u7JO7KpkgLm  | The date and time of assessment can be identified.-comments
40.2.2                    | iBGh7mb1Qrp  | Each child and family has an initial assessment which complies with current policies, procedures and guidelines.
40.2.2-comments           | LohVT2TE19p  | Each child and family has an initial assessment which complies with current policies, procedures and guidelines.-comments
40.2.2.1                  | INuQmuTdKkE  | Each patient admitted has an initial assessment which meets organisation policy.
40.2.2.1-comments         | EuDdRebxlSs  | Each patient admitted has an initial assessment which meets organisation policy.-comments
40.2.2.2                  | YaM3cecvAGa  | The initial assessment includes the health history of the child.
40.2.2.2-comments         | AKSEHuNyvyw  | The initial assessment includes the health history of the child.-comments
40.2.2.3                  | P4Tqxv2Lvja  | The initial assessment includes a physical examination of the child.
40.2.2.3-comments         | MramSWAEIpb  | The initial assessment includes a physical examination of the child.-comments
40.2.2.4                  | Z2xsTdn1QHY  | The initial assessment includes a nutritional assessment of the child.
40.2.2.4-comments         | vBjGkEhlM71  | The initial assessment includes a nutritional assessment of the child.-comments
40.2.2.5                  | V5Kt0xzRADJ  | The initial assessment includes a psychological and behavioural assessment of the child.
40.2.2.5-comments         | lY02YxAkfoZ  | The initial assessment includes a psychological and behavioural assessment of the child.-comments
40.2.2.6                  | wQBPzDDC5Va  | The initial assessment includes a developmental history and current functional assessment of the child.
40.2.2.6-comments         | Zcr4P8voYCh  | The initial assessment includes a developmental history and current functional assessment of the child.-comments
40.2.2.7                  | wEJgZGN9Ph2  | The initial assessment includes a social, cultural and where applicable, economic assessment of the child and family.
